Index,What degree did you receive at GSAPP?,In what year did you graduate from GSAPP?,How many years of professional experience did you have before attending GSAPP?,Did you do any summer internships while you attended GSAPP?,How long after graduating from GSAPP did you start working?
403,MS.UP,2011,More than 3,None,Less than 1 month
404,MS.AUD,2009,None,None,Between 3 and 6 months
405,MS.AAD,2012,Less than 1,1,Between 1 and 3 months
406,MS.RED,2009,More than 3,1,Between 3 and 6 months
407,MS.UP,2011,Between 1 and 3,None,Between 1 and 3 months
408,M.Arch,2012,More than 3,1,Between 3 and 6 months
409,MS.AAD,2011,Less than 1,None,Between 1 and 3 months
410,MS.HP,2011,More than 3,1,More than 1 year
411,MS.AUD,2011,Between 1 and 3,None,Less than 1 month
412,MS.UP,2011,Between 1 and 3,1,Between 1 and 3 months
413,MS.RED,2009,More than 3,None,Between 1 and 3 months
414,MS.HP,2009,Less than 1,1,Between 6 months and 1 year
415,MS.AAD,2011,Between 1 and 3,None,Between 1 and 3 months
416,MS.AAD,2010,More than 3,None,Less than 1 month
417,MS.AAD,2012,Between 1 and 3,None,Less than 1 month
418,MS.AAD,2012,More than 3,None,Between 3 and 6 months
419,MS.UP,2012,Between 1 and 3,1,Between 1 and 3 months
420,MS.AUD,2011,Less than 1,None,Between 3 and 6 months
421,MS.UP,2012,None,1,Between 6 months and 1 year
422,MS.AUD,2012,Less than 1,None,Less than 1 month
423,MS.AUD,2012,More than 3,None,Less than 1 month
424,MS.AUD,2012,None,None,Between 6 months and 1 year
425,MS.AUD,2012,Less than 1,None,Between 1 and 3 months
426,MS.AUD,2012,Between 1 and 3,None,Between 3 and 6 months
427,MS.AUD,2012,More than 3,None,Between 1 and 3 months
428,MS.AUD,2012,More than 3,None,Less than 1 month
429,Other,2013,None,None,Between 3 and 6 months
430,MS.AUD,2012,More than 3,None,Less than 1 month
431,M.Arch,2010,Between 1 and 3,None,Less than 1 month
432,MS.UP,2011,Between 1 and 3,2,Less than 1 month
433,MS.UP,2012,Between 1 and 3,2,Less than 1 month
434,Other,2012,None,1,Less than 1 month
435,MS.UP,2010,Between 1 and 3,1,Between 6 months and 1 year
436,MS.AUD,2012,Between 1 and 3,None,Between 3 and 6 months
437,MS.AAD,2011,More than 3,None,Between 1 and 3 months
438,MS.RED,2013,More than 3,2,Between 3 and 6 months
439,MS.AAD,2012,Between 1 and 3,None,Less than 1 month
440,MS.UP,2011,Between 1 and 3,1,Between 1 and 3 months
441,MS.AUD,2012,Between 1 and 3,None,Less than 1 month
442,MS.AUD,2012,None,None,Between 3 and 6 months
443,MS.AAD,2011,Less than 1,None,Less than 1 month
444,M.Arch,2011,Less than 1,1,Between 1 and 3 months
445,M.Arch,2012,More than 3,1,Between 1 and 3 months
446,MS.RED,2012,More than 3,1,Between 1 and 3 months
447,M.Arch,2013,Between 1 and 3,None,Between 3 and 6 months
448,MS.AAD,2012,More than 3,None,Less than 1 month
449,MS.AAD,2010,More than 3,None,Between 3 and 6 months
